Gender,Age,Total,BA+,BA-,NA,Total_no_na
Men,6 – 9,3544533,0,3024808,519725,3024808
Men,10 – 14,4185732,0,3669194,516538,3669194
Men,15 – 17,2300126,0,1994982,305144,1994982
Men,18 – 19 ,1614642,0,1367504,247138,1367504
Men,20 – 24 ,4013165,463546,2727980,821639,3191526
Men,25 – 29 ,3989752,1065855,2182104,741793,3247959
Men,30 – 34 ,6004846,1641447,3221894,1141505,4863341
Men,35 – 39 ,6374479,1734617,3410412,1229450,5145029
Men,40 – 44 ,5639350,1401794,3184809,1052747,4586603
Men,45 – 49 ,4974659,1105121,2990377,879161,4095498
Men,50 – 54 ,4345245,835161,2771184,738900,3606345
Men,55 – 59 ,4367606,782886,2899229,685491,3682115
Men,60 – 64 ,4570643,760437,3182211,627995,3942648
Men,65 – 69 ,3621377,611889,2504288,505200,3116177
Men,70 и более,4711407,829889,3188944,692574,4018833
Women,6 – 9,3376637,0,2872424,504213,2872424
Women,10 – 14,3974640,0,3478515,496125,3478515
Women,15 – 17,2170051,0,1874596,295455,1874596
Women,18 – 19 ,1478485,0,1237131,241354,1237131
Women,20 – 24 ,3737233,628494,2315225,793514,2943719
Women,25 – 29 ,3993873,1446270,1769051,778552,3215321
Women,30 – 34 ,6152129,2267681,2668155,1216293,4935836
Women,35 – 39 ,6669505,2403380,2963194,1302931,5366574
Women,40 – 44 ,6014640,1991802,2923674,1099164,4915476
Women,45 – 49 ,5438973,1620337,2893462,925174,4513799
Women,50 – 54 ,4864039,1257906,2809520,796613,4067426
Women,55 – 59 ,5303169,1178130,3310848,814191,4488978
Women,60 – 64 ,6078143,1165724,4056149,856270,5221873
Women,65 – 69 ,5402931,925483,3712084,765364,4637567
Women,70 и более,10106220,1386635,7209566,1510019,8596201
